City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Rain inches (last 3hrs),Snow inches (last 3hrs)
77,Kiunga,PG,2020-05-10 17:30:44,-6.12,141.29,74.91,98,73,2.28,broken clouds,0,0
78,Hithadhoo,MV,2020-05-10 17:30:44,-0.6,73.08,85.3,77,78,11.86,light rain,0,0
79,Palencia,ES,2020-05-10 17:30:44,42.42,-4.5,57.99,80,96,3.0,light rain,0,0
80,Castro,BR,2020-05-10 17:30:40,-24.79,-50.01,70.43,55,0,6.15,clear sky,0,0
81,Atuona,PF,2020-05-10 17:30:44,-9.8,-139.03,81.21,78,33,19.15,light rain,0,0
82,Paragominas,BR,2020-05-10 17:30:44,-2.97,-47.48,86.79,68,33,3.51,light rain,0,0
83,Beringovskiy,RU,2020-05-10 17:30:44,63.05,179.32,33.4,94,76,15.03,broken clouds,0,0
84,Loa Janan,ID,2020-05-10 17:30:45,-0.58,117.09,76.62,90,96,1.77,overcast clouds,0,0
85,Port Blair,IN,2020-05-10 17:30:45,11.67,92.75,85.05,75,99,2.37,overcast clouds,0,0
86,Semnan,IR,2020-05-10 17:30:45,35.57,53.4,74.88,29,0,4.05,clear sky,0,0
87,Along,IN,2020-05-10 17:30:45,28.17,94.77,66.88,80,56,2.64,broken clouds,0,0
88,Khash,IR,2020-05-10 17:30:45,28.22,61.22,82.63,14,9,4.21,clear sky,0,0
89,Tautira,PF,2020-05-10 17:30:46,-17.73,-149.15,77.0,83,20,3.36,few clouds,0,0
90,Luderitz,NA,2020-05-10 17:30:46,-26.65,15.16,73.4,53,0,2.24,clear sky,0,0
91,Mahebourg,MU,2020-05-10 17:30:46,-20.41,57.7,73.4,64,40,11.41,scattered clouds,0,0
92,Shiyan,CN,2020-05-10 17:30:46,32.65,110.78,60.8,52,16,3.96,few clouds,0,0
93,Port Elizabeth,ZA,2020-05-10 17:30:46,-33.92,25.57,68.0,42,0,2.24,clear sky,0,0
94,Pravda,RU,2020-05-10 17:30:46,46.94,142.01,42.8,93,75,4.47,light intensity shower rain,0,0
95,Krasnoarmeysk,RU,2020-05-10 17:30:47,51.02,45.7,54.0,74,35,4.0,scattered clouds,0,0
96,Qaanaaq,GL,2020-05-10 17:30:47,77.48,-69.36,14.58,82,3,2.3,clear sky,0,0
97,Bathsheba,BB,2020-05-10 17:30:47,13.22,-59.52,87.8,52,20,21.92,few clouds,0,0
98,Karaton,ID,2020-05-10 17:30:47,-6.34,106.1,82.4,88,20,3.36,haze,0,0
99,Dikson,RU,2020-05-10 17:30:47,73.51,80.55,23.54,98,71,12.33,broken clouds,0,0
100,Port Hedland,AU,2020-05-10 17:30:47,-20.32,118.57,77.0,23,100,9.17,overcast clouds,0,0
101,Iguape,BR,2020-05-10 17:27:33,-24.71,-47.56,77.23,52,0,6.6,clear sky,0,0
102,Kruisfontein,ZA,2020-05-10 17:30:48,-34.0,24.73,63.03,36,0,2.04,clear sky,0,0
103,Medvezhyegorsk,RU,2020-05-10 17:30:48,62.92,34.47,41.58,67,7,4.65,clear sky,0,0
104,Geraldton,AU,2020-05-10 17:30:48,-28.77,114.6,59.0,77,0,2.24,clear sky,0,0
105,Salalah,OM,2020-05-10 17:30:48,17.02,54.09,84.2,83,38,5.82,scattered clouds,0,0
106,Nanyamba,TZ,2020-05-10 17:30:48,-10.68,39.83,70.47,89,16,4.88,few clouds,0,0
107,Horta,PT,2020-05-10 17:29:02,38.53,-28.63,62.6,63,20,26.4,few clouds,0,0
