,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
77,Kiunga,PG,74.91,broken clouds,-6.12,141.29,Airport Lodge Kiunga
80,Castro,BR,70.43,clear sky,-24.79,-50.01,CHACARA BAILLY
84,Loa Janan,ID,76.62,overcast clouds,-0.58,117.09,Asrama Polisi Polsek Loajanan Res Kukar
86,Semnan,IR,74.88,clear sky,35.57,53.4,Semnan Tourist Hotel
87,Along,IN,66.88,broken clouds,28.17,94.77,Hotel West
89,Tautira,PF,77.0,few clouds,-17.73,-149.15,Pension Oaoa
90,Luderitz,,73.4,clear sky,-26.65,15.16,LÜDERITZ NEST HOTEL
91,Mahebourg,MU,73.4,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
93,Port Elizabeth,ZA,68.0,clear sky,-33.92,25.57,39 On Nile Guest House
100,Port Hedland,AU,77.0,overcast clouds,-20.32,118.57,The Esplanade Hotel
101,Iguape,BR,77.23,clear sky,-24.71,-47.56,Hotel Pousada Nossa Senhora do Carmo
106,Nanyamba,TZ,70.47,few clouds,-10.68,39.83,Busati Lodge Nanyamba
108,Muleba,TZ,70.43,overcast clouds,-1.84,31.65,NALPHIN HOTEL
109,Tignere,CM,67.15,heavy intensity rain,7.37,12.65,SADECK
111,San Quintin,MX,69.15,scattered clouds,30.48,-115.95,Old Mill Hotel
112,Vaini,TO,71.6,few clouds,-21.2,-175.2,Keleti Beach Resort
114,Saint-Philippe,RE,71.6,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
121,Biak,ID,77.63,light rain,-0.91,122.88,Kost Ariz
128,Qui Nhon,VN,78.3,clear sky,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
130,Sun Valley,US,71.6,clear sky,39.6,-119.78,Panther Valley RV Park
131,Itamaraju,BR,75.34,broken clouds,-17.04,-39.53,Hotel Vista Bela
132,Faya,SA,71.6,clear sky,18.39,42.45,مقبرة ال مجمل
140,Port-Gentil,GA,75.2,broken clouds,-0.72,8.78,Fengshui Residence
142,Bardiyah,LY,66.61,clear sky,31.76,25.09,بورتو بردية
144,Carnarvon,AU,72.9,broken clouds,-24.87,113.63,Hospitality Carnarvon
145,Fairbanks,US,66.0,clear sky,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
146,Yenagoa,NG,75.2,overcast clouds,4.92,6.26,Amba Hotels Limited
147,Belmonte,BR,78.8,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
154,East London,ZA,74.14,clear sky,-33.02,27.91,Tu Casa
156,Saldanha,ZA,66.2,clear sky,-33.01,17.94,Blue Bay Lodge
158,Itarema,BR,77.86,light rain,-2.92,-39.92,Windvillage
159,Houma,US,78.01,clear sky,29.6,-90.72,Courtyard by Marriott Houma
